FHIR IG,Track,Profile,Feedback / Comments,Submitter,Notes,
PH Core IG,Track 1 - FHIR Data Submission,Organization,What if the Facility is not registered in NHFR?,John Lemuel Dalisay (IPHO South Cotabato),DOH: All facility should be in the NHFR.,All facility shoould be registered and licensed.
NHDR IG,Track 1 - FHIR Data Submission,Patient,"indigenousPeople (Boolean) should be 0..1 not 0..*  ; you can't have indigenousPeople : [true,false,true,..] which doesn't make sense. However, it is alrite for indigenousGroup [CodeableConcept] 0..* [race1,race2,. ]",Thomas Reyes (UPM Silab),See Row #10.,
PH Core IG,Track 1 - FHIR Data Submission,Practitioner,Practitioner and Patient can refer to Person where you can associate the National ID and Philhealth id. Why not use a Person resource to assoc the IDs and relate the patient and practitioner?,Noel Del Castillo (SeeYouDoc),For consideration.,For discussion in DH TWG
PH Core IG,Track 1 - FHIR Data Submission,Practitioner,Practitioner does not have PRC (Professional Regulation Commission) license codes,PM Baquiano (Iligan),For consideration.,"For discussion in DH TWG. The question actually is just for the PH Core, there's a FHIR Path for this"
PH Core IG,Track 1 - FHIR Data Submission,Other,"Why not add the coordinates in the Address (Region, Province, Barangay)? This will be useful for analytics.",Noel Del Castillo (SeeYouDoc),For consideration.,For discussion in DH TWG
PH Core IG,Track 1 - FHIR Data Submission,Other,Can we include in the identifier the system identifier to represent the ids from the database tables of other 3rd party systems? This will help validate the record from the source.,Noel Del Castillo (SeeYouDoc),"The more identifiers, the better.",For discussion in DH TWG
,,,"END - NOTHING FOLLLOWS - JUNE 16
[ YOU MAY ADD AGAIN AFTER THE PROGRAM]",,,
PH Core IG,Track 1 - FHIR Data Submission,Other,"For FHIR Medication Resource, code is bound to SNOMED CT Medication Codes. For Philippine implementation, should we instead bind Medication.code to a national drug terminology? For example: Philippine FDA Drug Products - https://verification.fda.gov.ph/ALL_DrugProductslist.php",Ryan Michael Gelig (SugboDoc),,
PH Core IG,Track 1 - FHIR Data Submission,Other,"For AllergyIntolerance Resource Philippine implementation, code is bound to SNOMED CT. Are we using the SNOMED CT Global Patient Set (GPS) for these bindings as mentioned yesterday?

If so, are we applying the SNOMED CT Global Patient Set (GPS) to other resources that cite SNOMED CT (e.g., Condition.code, Observation.code, Procedure.code, etc.)?",Ryan Michael Gelig (SugboDoc),,
PH Core IG,Track 1 - FHIR Data Submission,Other,"For the Condition resource, the current Philippine implementation specifies SNOMED CT. Should we instead use ICD-10 to align with PhilHealth eClaims requirements?",Ryan Michael Gelig (SugboDoc),,
PH Core IG,Track 1 - FHIR Data Submission,Procedure,"The Procedure Resource is not yet included in ph-core-resources. Once added, I suggest binding it to a coding system aligned with PhilHealth eClaims, to avoid additional mapping. PhilHealth currently uses RVS codes (Relative Value Scale) for procedures under its case rate system.",Ryan Michael Gelig (SugboDoc),,
NHDR IG,Track 1 - FHIR Data Submission,Patient,"The NHDR IG does not have the RelatedPerson resource -- necessary for maternal and newborn care, the creation of family folders in primary care, etc",Dr. PM Baquiano (Iligan),,
